item_id,attack_id,release_a,release_b,bin,jaccard,seqmatch,char3_jaccard,sentence_jaccard,tfidf_cosine,version_a,version_b,major_bump,any_bump,tactic_changed,platform_changed,name_changed,codebook_example
A021,T1101,2.0,3.0,0.60-0.80,0.6548672566371682,0.7230379746835442,0.6703645007923931,0.4444444444444444,0.8931923399116354,1.0,1.0,False,False,False,False,False,False
A022,T1025,6.0,7.0,J>=0.95,1.0,0.7910863509749304,0.9971181556195965,1.0,0.9999999999999998,1.0,1.1,False,True,False,False,False,False
A023,T1566.002,17.0,18.0,J>=0.95,0.9866071428571429,0.8364448699537259,0.971027216856892,0.6666666666666666,0.9858910857005435,2.7,2.8,False,True,False,False,False,False
A024,T1136,5.0,6.0,0.40-0.60,0.5294117647058824,0.5490943755958055,0.5012987012987012,0.14285714285714285,0.5950929592816904,1.0,2,True,True,False,True,False,False
A025,T1552.001,14.0,15.0,J>=0.95,1.0,0.9991575400168492,0.9903069466882067,0.3333333333333333,1.0000000000000002,1.2,1.2,False,False,False,False,False,False
A026,T1119,2.0,3.0,0.40-0.60,0.464,0.45959367945823926,0.4717514124293785,0.15384615384615385,0.642787821074145,1.0,1.0,False,False,False,False,False,False
A027,T1200,2.0,3.0,0.60-0.80,0.7327586206896551,0.7888631090487239,0.7504078303425775,0.2857142857142857,0.8543523101185097,1.0,1.0,False,False,False,False,False,False
A028,T1584.004,12.0,13.0,J>=0.95,0.9508196721311475,0.9322990126939351,0.9349593495934959,0.6666666666666666,0.9802962192378593,1.1,1.2,False,True,False,False,False,False
A029,T1218.009,10.0,11.0,J>=0.95,0.9868421052631579,0.9876543209876543,1.0,0.7142857142857143,0.9970218878068597,1.0,2.0,True,True,False,False,False,False
A030,T1018,6.0,7.0,0.40-0.60,0.5337423312883436,0.3211009174311927,0.5944134078212291,0.0,0.4760611630412296,2.0,2.1,False,True,False,False,False,False
A031,T1574.002,8.0,9.0,J<0.40,0.32608695652173914,0.0945179584120983,0.4042838018741633,0.0,0.6164070791939721,1.0,2.0,True,True,False,False,False,True
A032,T1218,2.0,3.0,0.60-0.80,0.7380952380952381,0.818,0.7470198675496689,0.42857142857142855,0.9394297528949537,1.0,1.0,False,False,False,False,False,False
A033,T1124,8.0,9.0,0.80-0.95,0.8217821782178217,0.8907942238267148,0.8370118845500849,0.5,0.9587667293959207,1.1,1.2,False,True,False,False,False,False
A034,T1016,6.0,7.0,J>=0.95,0.9722222222222222,0.9926289926289926,0.9750566893424036,0.6,0.9937224474266954,1.1,1.2,False,True,False,False,False,False
A035,T1008,2.0,3.0,J<0.40,0.30337078651685395,0.3996138996138996,0.33078393881453155,0.2,0.5106844287365659,1.0,1.0,False,False,False,False,False,False
A036,T1566.003,14.0,15.0,J>=0.95,0.9583333333333334,0.9875114224794396,0.9576502732240437,0.7857142857142857,0.982629103404899,2.0,2.0,False,False,False,False,False,False
A037,T1539,6.0,7.0,J>=0.95,0.9924812030075187,0.9996521739130435,0.9985443959243085,0.75,0.9924834482795377,1.0,1.0,False,False,False,False,False,False
A038,T1086,2.0,3.0,0.40-0.60,0.49032258064516127,0.6102865032792544,0.5494636471990465,0.4,0.7799737728863364,1.0,1.0,False,False,False,False,False,False
A039,T1048,2.0,3.0,0.40-0.60,0.4215686274509804,0.5431034482758621,0.4347048300536673,0.5,0.6825394081253982,1.0,1.0,False,False,False,False,False,True
A040,T1588.007,18.0,19.0,J>=0.95,0.9758064516129032,0.9972318339100346,0.9833564493758669,0.6666666666666666,0.9902115380352393,1.1,1.1,False,False,False,False,False,False
A041,T1078,3.0,4.0,0.40-0.60,0.520618556701031,0.5862335653518949,0.5943983402489627,0.3333333333333333,0.6855089211484962,1.0,1.1,False,True,False,False,False,False
A042,T1059.006,14.0,15.0,0.80-0.95,0.9090909090909091,0.9658181818181818,0.9044444444444445,0.5714285714285714,0.940292201826933,1.0,1.0,False,False,False,False,False,False
A043,T1065,2.0,3.0,J<0.40,0.2597402597402597,0.32037691401649,0.27839643652561247,0.2,0.5110105587993061,1.0,1.0,False,False,False,False,False,False
A044,T1190,3.0,4.0,0.80-0.95,0.9368421052631579,0.9526558891454965,0.933456561922366,0.5,0.9153735527758492,1.0,1.1,False,True,False,False,False,False
A045,T1211,18.0,19.0,J<0.40,0.32919254658385094,0.12851742965140697,0.4444444444444444,0.0,0.45374759438007045,1.5,2.0,True,True,True,False,True,True
A046,T1497.003,17.0,18.0,J<0.40,0.3878787878787879,0.31362275449101795,0.42747252747252745,0.0,0.6121428771080912,1.3,2.0,True,True,False,False,True,True
A047,T1098.002,14.0,15.0,J>=0.95,0.9548387096774194,0.9779079052435454,0.9514792899408284,0.75,0.9713460117582002,2.1,2.1,False,False,False,False,False,False
A048,T1207,6.0,7.0,0.80-0.95,0.9444444444444444,0.9039093898428937,0.9627507163323782,0.3333333333333333,0.947363207669892,1.0,2.0,True,True,False,False,True,False
A049,T1114.003,9.0,10.0,0.60-0.80,0.7007299270072993,0.27072023163228376,0.7174515235457064,0.2222222222222222,0.8655120341465717,1.1,1.2,False,True,False,True,False,False
A050,T1204,14.0,15.0,0.80-0.95,0.8881118881118881,0.9338544798556825,0.8753246753246753,0.6666666666666666,0.9396862201761214,1.5,1.6,False,True,False,False,False,False
A051,T1020,2.0,3.0,0.40-0.60,0.5675675675675675,0.6204081632653061,0.5253164556962026,0.0,0.6807544474725714,1.0,1.0,False,False,False,False,False,False
A052,T1114,6.0,7.0,J<0.40,0.1103448275862069,0.074877916440586,0.17662682602921648,0.0,0.27374087868814845,2.0,2.1,False,True,False,False,False,False
A053,T1036,6.0,7.0,J<0.40,0.1453900709219858,0.0911595291760581,0.23660030627871362,0.0,0.27246509715849154,1.2,1.3,False,True,False,False,False,False
A054,T1056.002,10.0,11.0,J>=0.95,0.991304347826087,0.994413407821229,0.9968701095461658,0.6,0.9964799062873245,1.1,1.2,False,True,False,False,False,False
A055,T1213,2.0,3.0,0.40-0.60,0.4973821989528796,0.4954954954954955,0.5457256461232605,0.14285714285714285,0.7554512072663795,1.0,1.0,False,False,False,False,False,False
A056,T1106,9.0,10.0,0.80-0.95,0.8301886792452831,0.8274974253347065,0.8445873526259379,0.15384615384615385,0.9264636510121882,2.0,2.1,False,True,False,False,False,False
A057,T1168,2.0,3.0,0.60-0.80,0.7575757575757576,0.8149140433132396,0.746641074856046,0.15789473684210525,0.9469981493587052,1.0,1.0,False,False,False,False,False,False
A058,T1053,2.0,3.0,J<0.40,0.3054393305439331,0.336866902237927,0.3607540702656384,0.15789473684210525,0.6447958096771741,1.0,1.0,False,False,False,False,False,False
A059,T1010,2.0,3.0,J<0.40,0.37037037037037035,0.3941176470588235,0.34991708126036486,0.2,0.5888792273592471,1.0,1.0,False,False,False,False,False,False
A060,T1110,17.0,18.0,0.60-0.80,0.7819548872180451,0.8865398167723749,0.84,0.8,0.9095378942984,2.7,2.8,False,True,False,False,False,False
A061,T1173,2.0,3.0,0.60-0.80,0.7784431137724551,0.8308801441874437,0.8054298642533937,0.6363636363636364,0.960883465561162,1.0,1.0,False,False,False,False,False,False
A062,T1093,2.0,3.0,J<0.40,0.296,0.4043280182232346,0.3410071942446043,0.125,0.6199076665804597,1.0,1.0,False,False,False,False,False,False
A063,T1136.003,14.0,15.0,0.60-0.80,0.6402877697841727,0.6750448833034112,0.6625514403292181,0.3333333333333333,0.7660043882156455,1.4,1.5,False,True,False,False,False,False
A064,T1018,7.0,8.0,0.40-0.60,0.5971223021582733,0.6482309882065881,0.6170483460559797,0.5714285714285714,0.6024723907668257,2.1,3.0,True,True,False,True,False,False
A065,T1105,12.0,13.0,J>=0.95,0.9807692307692307,0.9774946921443737,0.9790660225442834,0.7142857142857143,0.9837512375238178,2.1,2.2,False,True,False,False,False,False
A066,T1016,11.0,12.0,J>=0.95,0.9509803921568627,0.9723849372384937,0.9438775510204082,0.5,0.9558709002187166,1.4,1.5,False,True,False,False,False,False
A067,T1014,2.0,3.0,0.40-0.60,0.5573770491803278,0.6465116279069767,0.5644937586685159,0.18181818181818182,0.8137950769223017,1.0,1.0,False,False,False,False,False,False
A068,T1593,8.0,9.0,J>=0.95,0.9560439560439561,0.9858657243816255,0.9814126394052045,0.5,0.9936521693138297,1.0,1.0,False,False,False,False,False,False
A069,T1030,2.0,3.0,J<0.40,0.28703703703703703,0.336,0.30569948186528495,0.2857142857142857,0.5970102472988981,1.0,1.0,False,False,False,False,False,False
A070,T1141,2.0,3.0,0.60-0.80,0.7475728155339806,0.8179500254971953,0.8049180327868852,0.5,0.9206603205263119,1.0,1.0,False,False,False,False,False,False
